severity,issue_class,subject,issue_type,scan_performed_on,status,insight,detection_method,risk,recommended_action
Moderate,Revisar e bloquear bots de IA de acessar seus ativos,anhanga.tur.br,Sugestão de configuração,2026-04-22T12:45:57.596178Z,Active,,,,"Ativar o botão Bloquear bots de IA. "
Low,Revise rastreadores de IA indesejados com o AI Labyrinth,anhanga.tur.br,Sugestão de configuração,2026-04-22T12:45:57.596183Z,Active,,,,"Ative o AI Labyrinth. "
Moderate,Reduza regras de skip para proteção aprimorada,anhanga.tur.br,Sugestão de configuração,2026-04-22T12:45:57.658461Z,Active,,,,"Revise e remova regras de segurança não necessárias com a ação ""skip"".. "
Low,Security.txt não configurado,anhanga.tur.br,Sugestão de configuração,2026-05-10T00:51:32.131778Z,Active,Security.txt não configurado. Configure e gerencie o arquivo Security.txt para melhorar o processo de divulgação de vulnerabilidades do site,Avaliamos as Configurações de Segurança configuradas para este domínio e descobrimos que o Security.txt não está habilitado.,"A ausência de insights do Security.txt não permite um método claro e acessível para os pesquisadores relatarem vulnerabilidades. Com isso, problemas de segurança podem passar despercebidos ou ser subnotificados, aumentando o risco de exploração.","Configurar arquivo Security.txt. "
Moderate,Modo de Luta contra Bots não ativado,anhanga.tur.br,Sugestão de configuração,2026-05-10T00:51:37.370159Z,Active,,,,"Ative o Modo de Luta contra Bots. Você pode ver ações relacionadas a Bots indo para Segurança > Eventos. Qualquer solicitação desafiada por esse produto será marcada como Modo de Luta contra Bots no campo Serviço. Isso permite que você observe, analise e acompanhe tendências no seu tráfego de Bots ao longo do tempo."
Moderate,Domínios com criptografia TLS ausente,url2559.anhanga.tur.br,Violação de conformidade,2026-05-06T17:22:06.68866Z,Active,Domínios com criptografia TLS ausente. Detectamos que não há criptografia TLS para este host.,"Seu host aceita conexões HTTP na porta 80, mas não aceita conexões HTTPS na porta 443. Como resultado, determinamos que você não tem a criptografia TLS configurada para este host.",Dados não criptografados em trânsito,Configure a criptografia TLS para seu host. Atualize o modo de criptografia SSL/TLS para Full (estrito) para esta zona.
Moderate,"Domínios sem ""Sempre usar HTTPS""",61280016.anhanga.tur.br,Configuração insegura,2026-05-06T17:22:06.688397Z,Active,"Domínios sem ""Sempre usar HTTPS"". As solicitações HTTP para seu host não são redirecionadas para a solicitação HTTPS equivalente.","Fizemos uma solicitação HTTP na porta 80 e recebemos uma resposta, mas a resposta não foi um redirecionamento 301 para o URL HTTPS correspondente.",Dados não criptografados em trânsito,Habilitar opção Sempre usar HTTPS. Ative Sempre usar HTTPS nas configurações de certificados de borda Cloudflare SSL/TLS da sua zona.
Moderate,Domínios sem HSTS,61280016.anhanga.tur.br,Configuração insegura,2026-05-06T17:22:06.688399Z,Active,"Domínios sem HSTS. HTTP Strict Transport Security é um cabeçalho que permite que um site especifique e aplique a política de segurança em navegadores da Web do cliente. Essa aplicação de políticas protege websites seguros contra ataques de downgrade, remoção de SSL e sequestro de cookies.",Fizemos solicitações HTTP e HTTPS com seu nome de host para verificar a presença do cabeçalho Strict-Transport-Security na resposta. Não detectamos a plataforma correta na resposta.,Dados não criptografados em trânsito,Habilitar HSTS. Ative o HSTS nas configurações de certificados de borda Cloudflare SSL/TLS da sua zona.
Moderate,Domínios com criptografia TLS ausente,61280016.anhanga.tur.br,Violação de conformidade,2026-05-06T17:22:06.6884Z,Active,Domínios com criptografia TLS ausente. Detectamos que não há criptografia TLS para este host.,"Seu host aceita conexões HTTP na porta 80, mas não aceita conexões HTTPS na porta 443. Como resultado, determinamos que você não tem a criptografia TLS configurada para este host.",Dados não criptografados em trânsito,Configure a criptografia TLS para seu host. Atualize o modo de criptografia SSL/TLS para Full (estrito) para esta zona.
Moderate,"Domínios sem ""Sempre usar HTTPS""",url10.anhanga.tur.br,Configuração insegura,2026-05-06T17:22:06.688808Z,Active,"Domínios sem ""Sempre usar HTTPS"". As solicitações HTTP para seu host não são redirecionadas para a solicitação HTTPS equivalente.","Fizemos uma solicitação HTTP na porta 80 e recebemos uma resposta, mas a resposta não foi um redirecionamento 301 para o URL HTTPS correspondente.",Dados não criptografados em trânsito,Habilitar opção Sempre usar HTTPS. Ative Sempre usar HTTPS nas configurações de certificados de borda Cloudflare SSL/TLS da sua zona.
